Location,Category,Quantity,Month,city,sales,Distributor,country,state,Latitude_D,Longitude_D,Manufacturing_Plant,Latitude,Longitude
West,Allergy,3442,2023-03,Bangalore,275360,K,India,KA,12.9506,77.6445,MP2,12.98005,77.67971
West,Allergy,3441,2023-04,Bangalore,275280,K,India,KA,12.9506,77.6445,MP1,12.925453,77.546761
West,Allergy,5234,2023-05,Bangalore,418720,K,India,KA,12.9506,77.6445,MP1,12.925453,77.546761
West,Allergy,3523,2023-04,Bangalore,281840,K,India,KA,12.9506,77.6445,MP2,12.98005,77.67971
West,Allergy,4231,2023-07,Bangalore,338480,K,India,KA,12.9506,77.6445,MP1,12.925453,77.546761
West,Allergy,5352,2023-08,Bangalore,428160,K,India,KA,12.9506,77.6445,MP2,12.98005,77.67971
West,Allergy,3462,2023-09,Bangalore,276960,K,India,KA,12.9506,77.6445,MP1,12.925453,77.546761
West,Allergy,634,2023-10,Bangalore,50720,K,India,KA,12.9506,77.6445,MP2,12.98005,77.67971
West,Allergy,5341,2023-11,Bangalore,427280,K,India,KA,12.9506,77.6445,MP1,12.925453,77.546761
West,Allergy,4632,2023-12,Bangalore,370560,K,India,KA,12.9506,77.6445,MP1,12.925453,77.546761
West,Allergy,6363,2023-09,Bangalore,509040,K,India,KA,12.9506,77.6445,MP2,12.98005,77.67971
West,Allergy,5476,2023-07,Bangalore,438080,K,India,KA,12.9506,77.6445,MP2,12.98005,77.67971
East,Allergy,5343,2023-03,Bangalore,427440,D,India,KA,12.935,77.6101,MP1,12.925453,77.546761
East,Allergy,5352,2023-06,Bangalore,428160,D,India,KA,12.935,77.6101,MP1,12.925453,77.546761
East,Allergy,634,2023-03,Bangalore,50720,D,India,KA,12.935,77.6101,MP2,12.98005,77.67971
East,Allergy,3441,2023-04,Bangalore,275280,D,India,KA,12.935,77.6101,MP1,12.925453,77.546761
East,Allergy,5234,2023-05,Bangalore,418720,D,India,KA,12.935,77.6101,MP1,12.925453,77.546761
East,Allergy,5343,2023-04,Bangalore,427440,D,India,KA,12.935,77.6101,MP2,12.98005,77.67971
East,Allergy,4231,2023-07,Bangalore,338480,D,India,KA,12.935,77.6101,MP1,12.925453,77.546761
East,Allergy,5352,2023-08,Bangalore,428160,D,India,KA,12.935,77.6101,MP2,12.98005,77.67971
East,Allergy,3462,2023-09,Bangalore,276960,D,India,KA,12.935,77.6101,MP1,12.925453,77.546761
East,Allergy,634,2023-10,Bangalore,50720,D,India,KA,12.935,77.6101,MP2,12.98005,77.67971
East,Allergy,5341,2023-11,Bangalore,427280,D,India,KA,12.935,77.6101,MP1,12.925453,77.546761
East,Allergy,4632,2023-12,Bangalore,370560,D,India,KA,12.935,77.6101,MP1,12.925453,77.546761
East,Allergy,5341,2023-08,Bangalore,427280,D,India,KA,12.935,77.6101,MP1,12.925453,77.546761
East,Allergy,5476,2023-07,Bangalore,438080,D,India,KA,12.935,77.6101,MP2,12.98005,77.67971
East,Allergy,3442,2024-12,Bangalore,275360,A,India,KA,12.9716,77.5946,MP2,12.98005,77.67971
East,Allergy,5343,2023-01,Bangalore,427440,A,India,KA,12.9716,77.5946,MP1,12.925453,77.546761
East,Allergy,5352,2023-02,Bangalore,428160,A,India,KA,12.9716,77.5946,MP1,12.925453,77.546761
East,Allergy,634,2023-03,Bangalore,50720,A,India,KA,12.9716,77.5946,MP2,12.98005,77.67971
East,Allergy,3441,2023-04,Bangalore,275280,A,India,KA,12.9716,77.5946,MP1,12.925453,77.546761
East,Allergy,5234,2023-05,Bangalore,418720,A,India,KA,12.9716,77.5946,MP1,12.925453,77.546761
East,Allergy,5343,2023-09,Bangalore,427440,A,India,KA,12.9716,77.5946,MP2,12.98005,77.67971
East,Allergy,4231,2023-07,Bangalore,338480,A,India,KA,12.9716,77.5946,MP1,12.925453,77.546761
East,Allergy,5352,2023-08,Bangalore,428160,A,India,KA,12.9716,77.5946,MP2,12.98005,77.67971
East,Allergy,3462,2023-09,Bangalore,276960,A,India,KA,12.9716,77.5946,MP1,12.925453,77.546761
East,Allergy,634,2023-10,Bangalore,50720,A,India,KA,12.9716,77.5946,MP2,12.98005,77.67971
East,Allergy,5341,2023-11,Bangalore,427280,A,India,KA,12.9716,77.5946,MP1,12.925453,77.546761
East,Allergy,4632,2023-12,Bangalore,370560,A,India,KA,12.9716,77.5946,MP1,12.925453,77.546761
East,Allergy,5341,2023-08,Bangalore,427280,A,India,KA,12.9716,77.5946,MP1,12.925453,77.546761
East,Allergy,5476,2023-09,Bangalore,438080,D,India,KA,12.935,77.6101,MP2,12.98005,77.67971
South,Allergy,3442,2024-12,Bangalore,275360,B,India,KA,12.9279,77.6271,MP2,12.98005,77.67971
South,Allergy,5343,2023-01,Bangalore,427440,B,India,KA,12.9279,77.6271,MP1,12.925453,77.546761
South,Allergy,5352,2023-02,Bangalore,428160,B,India,KA,12.9279,77.6271,MP1,12.925453,77.546761
South,Allergy,634,2023-03,Bangalore,50720,B,India,KA,12.9279,77.6271,MP2,12.98005,77.67971
South,Allergy,3441,2023-04,Bangalore,275280,B,India,KA,12.9279,77.6271,MP1,12.925453,77.546761
South,Allergy,5234,2023-05,Bangalore,418720,B,India,KA,12.9279,77.6271,MP1,12.925453,77.546761
South,Allergy,5343,2023-04,Bangalore,427440,B,India,KA,12.9279,77.6271,MP2,12.98005,77.67971
South,Allergy,4231,2023-07,Bangalore,338480,B,India,KA,12.9279,77.6271,MP1,12.925453,77.546761
South,Allergy,5352,2023-08,Bangalore,428160,B,India,KA,12.9279,77.6271,MP2,12.98005,77.67971
South,Allergy,3462,2023-09,Bangalore,276960,B,India,KA,12.9279,77.6271,MP1,12.925453,77.546761
South,Allergy,634,2023-10,Bangalore,50720,B,India,KA,12.9279,77.6271,MP2,12.98005,77.67971
South,Allergy,5341,2023-11,Bangalore,427280,B,India,KA,12.9279,77.6271,MP1,12.925453,77.546761
South,Allergy,4632,2023-12,Bangalore,370560,B,India,KA,12.9279,77.6271,MP1,12.925453,77.546761
South,Allergy,5341,2023-08,Bangalore,427280,B,India,KA,12.9279,77.6271,MP1,12.925453,77.546761
West,Allergy,3442,2024-12,Bangalore,275360,C,India,KA,12.95184,77.699577,MP2,12.98005,77.67971
West,Allergy,5343,2023-01,Bangalore,427440,C,India,KA,12.95184,77.699577,MP1,12.925453,77.546761
West,Allergy,5352,2023-02,Bangalore,428160,C,India,KA,12.95184,77.699577,MP1,12.925453,77.546761
West,Allergy,5343,2023-03,Bangalore,427440,C,India,KA,12.95184,77.699577,MP2,12.98005,77.67971
West,Allergy,3441,2023-04,Bangalore,275280,C,India,KA,12.95184,77.699577,MP1,12.925453,77.546761
West,Allergy,5234,2023-05,Bangalore,418720,C,India,KA,12.95184,77.699577,MP1,12.925453,77.546761
West,Allergy,5343,2023-04,Bangalore,427440,C,India,KA,12.95184,77.699577,MP2,12.98005,77.67971
West,Allergy,4231,2023-07,Bangalore,338480,C,India,KA,12.95184,77.699577,MP1,12.925453,77.546761
West,Allergy,5352,2023-08,Bangalore,428160,C,India,KA,12.95184,77.699577,MP2,12.98005,77.67971
West,Allergy,3441,2023-09,Bangalore,275280,C,India,KA,12.95184,77.699577,MP1,12.925453,77.546761
West,Allergy,634,2023-10,Bangalore,50720,C,India,KA,12.95184,77.699577,MP2,12.98005,77.67971
West,Allergy,5343,2023-01,Bangalore,427440,H,India,KA,12.971891,77.641151,MP1,12.925453,77.546761
West,Allergy,5352,2023-02,Bangalore,428160,H,India,KA,12.971891,77.641151,MP1,12.925453,77.546761
West,Allergy,634,2023-03,Bangalore,50720,H,India,KA,12.971891,77.641151,MP2,12.98005,77.67971
West,Allergy,3441,2023-04,Bangalore,275280,H,India,KA,12.971891,77.641151,MP1,12.925453,77.546761
West,Allergy,5234,2023-05,Bangalore,418720,H,India,KA,12.971891,77.641151,MP1,12.925453,77.546761
West,Allergy,5343,2023-04,Bangalore,427440,H,India,KA,12.971891,77.641151,MP2,12.98005,77.67971
West,Allergy,4231,2023-07,Bangalore,338480,H,India,KA,12.971891,77.641151,MP1,12.925453,77.546761
West,Allergy,5352,2023-08,Bangalore,428160,H,India,KA,12.971891,77.641151,MP2,12.98005,77.67971
West,Allergy,3462,2023-09,Bangalore,276960,H,India,KA,12.971891,77.641151,MP1,12.925453,77.546761
West,Allergy,634,2023-10,Bangalore,50720,H,India,KA,12.971891,77.641151,MP2,12.98005,77.67971
West,Allergy,5341,2023-11,Bangalore,427280,H,India,KA,12.971891,77.641151,MP1,12.925453,77.546761
West,Allergy,4632,2023-12,Bangalore,370560,H,India,KA,12.971891,77.641151,MP1,12.925453,77.546761
East,Antibiotic,3253,2023-03,Bangalore,390360,A,India,KA,12.9716,77.5946,MP2,12.98005,77.67971
East,Antibiotic,1900,2023-03,Bangalore,228000,A,India,KA,12.9716,77.5946,MP1,12.925453,77.546761
East,Antibiotic,6413,2023-04,Bangalore,769560,A,India,KA,12.9716,77.5946,MP2,12.98005,77.67971
East,Antibiotic,2300,2023-05,Bangalore,276000,A,India,KA,12.9716,77.5946,MP2,12.98005,77.67971
East,Antibiotic,1500,2023-06,Bangalore,180000,A,India,KA,12.9716,77.5946,MP2,12.98005,77.67971
East,Antibiotic,2331,2023-07,Bangalore,279720,A,India,KA,12.9716,77.5946,MP2,12.98005,77.67971
East,Antibiotic,500,2023-08,Bangalore,60000,A,India,KA,12.9716,77.5946,MP2,12.98005,77.67971
East,Antibiotic,2900,2023-12,Bangalore,348000,A,India,KA,12.9716,77.5946,MP1,12.925453,77.546761
East,Antibiotic,1400,2024-09,Bangalore,168000,A,India,KA,12.9716,77.5946,MP2,12.98005,77.67971
East,Antibiotic,2900,2024-10,Bangalore,348000,A,India,KA,12.9716,77.5946,MP1,12.925453,77.546761
East,Antibiotic,500,2024-11,Bangalore,60000,A,India,KA,12.9716,77.5946,MP1,12.925453,77.546761
South,Antibiotic,5325,2023-01,Bangalore,639000,B,India,KA,12.9279,77.6271,MP1,12.925453,77.546761
South,Antibiotic,1423,2024-01,Bangalore,170760,B,India,KA,12.9279,77.6271,MP2,12.98005,77.67971
South,Antibiotic,2300,2024-02,Bangalore,276000,B,India,KA,12.9279,77.6271,MP2,12.98005,77.67971
South,Antibiotic,5325,2023-02,Bangalore,639000,B,India,KA,12.9279,77.6271,MP1,12.925453,77.546761
South,Antibiotic,3253,2023-03,Bangalore,390360,B,India,KA,12.9279,77.6271,MP2,12.98005,77.67971
South,Antibiotic,1900,2024-03,Bangalore,228000,B,India,KA,12.9279,77.6271,MP2,12.98005,77.67971
South,Antibiotic,6413,2023-04,Bangalore,769560,B,India,KA,12.9279,77.6271,MP2,12.98005,77.67971
South,Antibiotic,2300,2023-05,Bangalore,276000,B,India,KA,12.9279,77.6271,MP1,12.925453,77.546761
South,Antibiotic,1500,2023-06,Bangalore,180000,B,India,KA,12.9279,77.6271,MP2,12.98005,77.67971
South,Antibiotic,2331,2023-07,Bangalore,279720,B,India,KA,12.9279,77.6271,MP2,12.98005,77.67971
South,Antibiotic,500,2023-08,Bangalore,60000,B,India,KA,12.9279,77.6271,MP2,12.98005,77.67971
South,Antibiotic,2900,2023-12,Bangalore,348000,B,India,KA,12.9279,77.6271,MP2,12.98005,77.67971
South,Antibiotic,1400,2024-09,Bangalore,168000,B,India,KA,12.9279,77.6271,MP1,12.925453,77.546761
South,Antibiotic,2900,2024-04,Bangalore,348000,B,India,KA,12.9279,77.6271,MP2,12.98005,77.67971
South,Antibiotic,500,2024-11,Bangalore,60000,B,India,KA,12.9279,77.6271,MP1,12.925453,77.546761
East,Antibiotic,5325,2023-08,Bangalore,639000,H,India,KA,12.971891,77.641151,MP2,12.98005,77.67971
East,Antibiotic,1423,2023-01,Bangalore,170760,H,India,KA,12.971891,77.641151,MP2,12.98005,77.67971
East,Antibiotic,2300,2023-02,Bangalore,276000,H,India,KA,12.971891,77.641151,MP2,12.98005,77.67971
East,Antibiotic,3253,2023-03,Bangalore,390360,H,India,KA,12.971891,77.641151,MP2,12.98005,77.67971
East,Antibiotic,1900,2023-03,Bangalore,228000,A,India,KA,12.9716,77.5946,MP1,12.925453,77.546761
East,Antibiotic,6413,2023-04,Bangalore,769560,H,India,KA,12.971891,77.641151,MP1,12.925453,77.546761
East,Antibiotic,2300,2023-05,Bangalore,276000,H,India,KA,12.971891,77.641151,MP1,12.925453,77.546761
East,Antibiotic,1500,2023-06,Bangalore,180000,H,India,KA,12.971891,77.641151,MP2,12.98005,77.67971
East,Antibiotic,2331,2023-07,Bangalore,279720,H,India,KA,12.971891,77.641151,MP2,12.98005,77.67971
East,Antibiotic,500,2023-08,Bangalore,60000,H,India,KA,12.971891,77.641151,MP1,12.925453,77.546761
East,Antibiotic,2900,2023-12,Bangalore,348000,H,India,KA,12.971891,77.641151,MP2,12.98005,77.67971
East,Antibiotic,1400,2024-09,Bangalore,168000,H,India,KA,12.971891,77.641151,MP2,12.98005,77.67971
East,Antibiotic,2900,2024-10,Bangalore,348000,H,India,KA,12.971891,77.641151,MP2,12.98005,77.67971
East,Antibiotic,500,2024-11,Bangalore,60000,H,India,KA,12.971891,77.641151,MP1,12.925453,77.546761
North,Antibiotic,5325,2023-01,Bangalore,639000,D,India,KA,12.935,77.6101,MP1,12.925453,77.546761
North,Antibiotic,1423,2023-01,Bangalore,170760,D,India,KA,12.935,77.6101,MP2,12.98005,77.67971
North,Antibiotic,1500,2023-02,Bangalore,180000,D,India,KA,12.935,77.6101,MP2,12.98005,77.67971
North,Antibiotic,5325,2023-02,Bangalore,639000,D,India,KA,12.935,77.6101,MP1,12.925453,77.546761
North,Antibiotic,3253,2023-03,Bangalore,390360,D,India,KA,12.935,77.6101,MP2,12.98005,77.67971
North,Antibiotic,2331,2023-04,Bangalore,279720,D,India,KA,12.935,77.6101,MP2,12.98005,77.67971
North,Antibiotic,2900,2023-04,Bangalore,348000,D,India,KA,12.935,77.6101,MP1,12.925453,77.546761
North,Antibiotic,2300,2023-05,Bangalore,276000,D,India,KA,12.935,77.6101,MP2,12.98005,77.67971
North,Antibiotic,1500,2023-06,Bangalore,180000,D,India,KA,12.935,77.6101,MP2,12.98005,77.67971
North,Antibiotic,2331,2024-07,Bangalore,279720,D,India,KA,12.935,77.6101,MP2,12.98005,77.67971
North,Antibiotic,500,2023-08,Bangalore,60000,D,India,KA,12.935,77.6101,MP2,12.98005,77.67971
North,Antibiotic,2900,2023-12,Bangalore,348000,D,India,KA,12.935,77.6101,MP2,12.98005,77.67971
North,Antibiotic,1400,2023-09,Bangalore,168000,D,India,KA,12.935,77.6101,MP1,12.925453,77.546761
North,Antibiotic,2900,2023-10,Bangalore,348000,D,India,KA,12.935,77.6101,MP2,12.98005,77.67971
North,Antibiotic,3253,2023-11,Bangalore,390360,D,India,KA,12.935,77.6101,MP1,12.925453,77.546761
North,Antibiotic,1500,2023-06,Bangalore,180000,D,India,KA,12.935,77.6101,MP1,12.925453,77.546761
West,Antibiotic,500,2023-02,Bangalore,60000,C,India,KA,12.95184,77.699577,MP2,12.98005,77.67971
West,Antibiotic,2900,2023-03,Bangalore,348000,C,India,KA,12.95184,77.699577,MP1,12.925453,77.546761
West,Antibiotic,1900,2023-03,Bangalore,228000,C,India,KA,12.95184,77.699577,MP2,12.98005,77.67971
West,Antibiotic,6413,2023-04,Bangalore,769560,C,India,KA,12.95184,77.699577,MP2,12.98005,77.67971
West,Antibiotic,2300,2023-05,Bangalore,276000,C,India,KA,12.95184,77.699577,MP2,12.98005,77.67971
West,Antibiotic,1500,2023-06,Bangalore,180000,C,India,KA,12.95184,77.699577,MP2,12.98005,77.67971
West,Antibiotic,2331,2023-07,Bangalore,279720,C,India,KA,12.95184,77.699577,MP2,12.98005,77.67971
West,Antibiotic,500,2023-08,Bangalore,60000,C,India,KA,12.95184,77.699577,MP1,12.925453,77.546761
West,Antibiotic,2900,2023-12,Bangalore,348000,C,India,KA,12.95184,77.699577,MP2,12.98005,77.67971
West,Antibiotic,1400,2024-09,Bangalore,168000,C,India,KA,12.95184,77.699577,MP1,12.925453,77.546761
