Sl no,Debit,Credit,Date,Transaction Description,Status
83,-30000,150551,3/24/21,EMI Home Loan,
84,0,170547,3/25/21,Utilities,
85,-30543,0,3/26/21,Groceries,
86,0,147629,3/27/21,Miscellaneous,
87,0,158261,3/28/21,Miscellaneous,
88,0,190181,3/29/21,Miscellaneous,
89,0,28953,3/30/21,Dining Out,
90,0,2995,3/31/21,Dining Out,
91,-20000,121829,4/1/21,EMI Car Loan,
92,-40308,0,4/2/21,Groceries,
93,0,126830,4/3/21,Miscellaneous,
94,0,153481,4/4/21,Dining Out,
95,-20000,152283,4/5/21,EMI Car Loan,
96,0,146769,4/6/21,Utilities,
97,-20000,0,4/7/21,EMI Car Loan,
98,0,173165,4/8/21,Dining Out,
99,-30000,49299,4/9/21,EMI Home Loan,
100,-30000,113678,4/10/21,EMI Home Loan,
101,-38466,0,4/11/21,Miscellaneous,
102,-30000,175735,4/12/21,EMI Home Loan,
103,-9603,0,4/13/21,Miscellaneous,
104,0,41387,4/14/21,Miscellaneous,
105,-48984,0,4/15/21,Dining Out,
106,-30000,170861,4/16/21,EMI Home Loan,
107,0,5591,4/17/21,Miscellaneous,
108,0,170884,4/18/21,Groceries,
109,-26753,0,4/19/21,Utilities,
110,-20000,0,4/20/21,EMI Car Loan,
111,-20000,155137,4/21/21,EMI Car Loan,
112,0,32798,4/22/21,Dining Out,
113,-30000,0,4/23/21,EMI Home Loan,
114,-30000,36807,4/24/21,EMI Home Loan,
115,-37815,0,4/25/21,Miscellaneous,
116,0,150000,4/26/21,Salary,
117,0,167851,4/27/21,Miscellaneous,
118,0,120171,4/28/21,Utilities,
119,0,89643,4/29/21,Groceries,
120,-20000,186584,4/30/21,EMI Car Loan,
121,-11956,0,5/1/21,Miscellaneous,
122,0,150000,5/2/21,Salary,
123,0,150000,5/3/21,Salary,
124,0,64752,5/4/21,Miscellaneous,
125,-1016,0,5/5/21,Dining Out,
126,-20000,0,5/6/21,EMI Car Loan,
127,-47432,0,5/7/21,Dining Out,
128,0,70151,5/8/21,Groceries,
129,0,150000,5/9/21,Salary,
130,0,150000,5/10/21,Salary,
131,0,83767,5/11/21,Utilities,
132,0,74375,5/12/21,Groceries,
133,0,150000,5/13/21,Salary,
134,0,86330,5/14/21,Groceries,
135,-20000,168610,5/15/21,EMI Car Loan,
136,-30000,0,5/16/21,EMI Home Loan,
137,0,150000,5/17/21,Salary,
138,-36014,0,5/18/21,Utilities,
139,-20000,11858,5/19/21,EMI Car Loan,
140,0,79312,5/20/21,Miscellaneous,
141,-37334,0,5/21/21,Groceries,
142,-11340,0,5/22/21,Miscellaneous,
143,0,84633,5/23/21,Dining Out,
144,-20000,0,5/24/21,EMI Car Loan,
145,0,14505,5/25/21,Miscellaneous,
146,0,150000,5/26/21,Salary,
147,0,133323,5/27/21,Groceries,
148,-30000,0,5/28/21,EMI Home Loan,
149,-20000,0,5/29/21,EMI Car Loan,
150,-19465,150000,5/30/21,Salary,
151,0,159675,5/31/21,Utilities,
152,0,63569,6/1/21,Dining Out,
153,0,2256,6/2/21,Groceries,
154,-20000,39135,6/3/21,EMI Car Loan,
155,-20000,77478,6/4/21,EMI Car Loan,
156,-30000,0,6/5/21,EMI Home Loan,
157,-30000,27373,6/6/21,EMI Home Loan,
158,0,160647,6/7/21,Utilities,
159,0,73684,6/8/21,Dining Out,
160,0,177426,6/9/21,Utilities,
161,0,150000,6/10/21,Salary,
162,0,150000,6/11/21,Salary,
163,-39035,0,6/12/21,Utilities,
164,-25462,0,6/13/21,Dining Out,
165,0,58066,6/14/21,Utilities,
166,0,151664,6/15/21,Dining Out,
167,0,179090,6/16/21,Dining Out,
168,0,63252,6/17/21,Miscellaneous,
169,0,89182,6/18/21,Groceries,
170,0,160381,6/19/21,Dining Out,
171,-30000,108338,6/20/21,EMI Home Loan,
172,0,134064,6/21/21,Dining Out,
173,0,164020,6/22/21,Dining Out,
174,0,48806,6/23/21,Dining Out,
175,0,87982,6/24/21,Miscellaneous,
176,0,60989,6/25/21,Miscellaneous,
177,0,150000,6/26/21,Salary,
178,0,71626,6/27/21,Miscellaneous,
179,-30000,69176,6/28/21,EMI Home Loan,
180,-30000,81278,6/29/21,EMI Home Loan,
181,0,168126,6/30/21,Miscellaneous,
182,0,168969,7/1/21,Utilities,
183,0,72409,7/2/21,Groceries,
184,-26581,0,7/3/21,Miscellaneous,
185,0,131708,7/4/21,Dining Out,
186,-20000,195310,7/5/21,EMI Car Loan,
187,0,15,7/6/21,Groceries,
188,0,198550,7/7/21,Groceries,
189,-30000,72096,7/8/21,EMI Home Loan,
190,0,57059,7/9/21,Groceries,
191,0,135340,7/10/21,Miscellaneous,
192,0,60687,7/11/21,Dining Out,
193,0,37939,7/12/21,Dining Out,
194,0,150000,7/13/21,Salary,
195,0,161428,7/14/21,Dining Out,
196,0,55878,7/15/21,Dining Out,
197,-30000,152982,7/16/21,EMI Home Loan,
198,0,137116,7/17/21,Dining Out,
199,0,150000,7/18/21,Salary,
200,-20000,199002,7/19/21,EMI Car Loan,
201,0,114899,7/20/21,Miscellaneous,
202,-30000,136892,7/21/21,EMI Home Loan,
203,-20000,12623,7/22/21,EMI Car Loan,
204,-30000,162806,7/23/21,EMI Home Loan,
205,0,25450,7/24/21,Utilities,
206,0,43426,7/25/21,Groceries,
207,0,67845,7/26/21,Utilities,
208,0,103371,7/27/21,Dining Out,
209,-20000,0,7/28/21,EMI Car Loan,
210,0,59225,7/29/21,Dining Out,
211,0,14044,7/30/21,Groceries,
212,-30000,123629,7/31/21,EMI Home Loan,
213,0,130152,8/1/21,Groceries,
214,0,150000,8/2/21,Salary,
215,-47307,0,8/3/21,Groceries,
216,0,150000,8/4/21,Salary,
217,0,45259,8/5/21,Groceries,
218,0,193307,8/6/21,Miscellaneous,
219,0,150000,8/7/21,Salary,
220,-20000,0,8/8/21,EMI Car Loan,
221,0,129997,8/9/21,Dining Out,
222,0,124013,8/10/21,Dining Out,
223,0,102906,8/11/21,Utilities,
224,-31953,0,8/12/21,Dining Out,
225,-30000,0,8/13/21,EMI Home Loan,
226,0,25766,8/14/21,Miscellaneous,
227,0,96779,8/15/21,Groceries,
228,0,103048,8/16/21,Utilities,
229,-30000,0,8/17/21,EMI Home Loan,
230,-30000,75117,8/18/21,EMI Home Loan,
231,-26224,150000,8/19/21,Salary,
232,0,111152,8/20/21,Dining Out,
233,-20000,78376,8/21/21,EMI Car Loan,
234,-20000,147914,8/22/21,EMI Car Loan,
235,0,142445,8/23/21,Utilities,
236,0,87848,8/24/21,Miscellaneous,
237,-20000,42787,8/25/21,EMI Car Loan,
238,0,77948,8/26/21,Groceries,
239,-20000,5016,8/27/21,EMI Car Loan,
240,0,90546,8/28/21,Utilities,
241,-20000,186902,8/29/21,EMI Car Loan,
242,0,139125,8/30/21,Groceries,
243,-28041,150000,8/31/21,Salary,
244,0,86602,9/1/21,Miscellaneous,
245,0,175928,9/2/21,Utilities,
246,0,150000,9/3/21,Salary,
247,-46252,150000,9/4/21,Salary,
248,0,150000,9/5/21,Salary,
249,-30000,179170,9/6/21,EMI Home Loan,
250,-36455,0,9/7/21,Miscellaneous,
251,0,77659,9/8/21,Dining Out,
252,0,147271,9/9/21,Miscellaneous,
253,-30000,115838,9/10/21,EMI Home Loan,
254,0,23530,9/11/21,Dining Out,
255,0,43557,9/12/21,Miscellaneous,
256,0,150000,9/13/21,Salary,
257,0,176911,9/14/21,Utilities,
258,0,197255,9/15/21,Dining Out,
259,0,18840,9/16/21,Groceries,
260,0,68451,9/17/21,Groceries,
261,-20000,135456,9/18/21,EMI Car Loan,
262,0,1005,9/19/21,Dining Out,
263,0,127648,9/20/21,Utilities,
264,-30000,0,9/21/21,EMI Home Loan,
265,0,150000,9/22/21,Salary,
266,-20000,164283,9/23/21,EMI Car Loan,
267,0,2733,9/24/21,Groceries,
268,-30000,15318,9/25/21,EMI Home Loan,
269,-30000,191025,9/26/21,EMI Home Loan,
270,0,150000,9/27/21,Salary,
271,0,104736,9/28/21,Dining Out,
272,0,17172,9/29/21,Groceries,
273,0,166688,9/30/21,Utilities,
274,-30000,43264,10/1/21,EMI Home Loan,
275,0,150000,10/2/21,Salary,
276,-23264,0,10/3/21,Utilities,
277,0,175281,10/4/21,Dining Out,
278,0,184113,10/5/21,Groceries,
279,0,62859,10/6/21,Dining Out,
280,-30000,62181,10/7/21,EMI Home Loan,
281,0,81926,10/8/21,Utilities,
282,0,40084,10/9/21,Utilities,
283,0,119695,10/10/21,Utilities,
284,-30000,0,10/11/21,EMI Home Loan,
285,-30000,5680,10/12/21,EMI Home Loan,
286,0,127789,10/13/21,Dining Out,
287,-20000,168164,10/14/21,EMI Car Loan,
288,0,859,10/15/21,Dining Out,
289,0,75657,10/16/21,Groceries,
290,0,150000,10/17/21,Salary,
291,0,107381,10/18/21,Utilities,
292,-20000,168527,10/19/21,EMI Car Loan,
293,0,150000,10/20/21,Salary,
294,-20000,20467,10/21/21,EMI Car Loan,
295,0,133734,10/22/21,Miscellaneous,
296,0,48506,10/23/21,Dining Out,
297,-30000,59751,10/24/21,EMI Home Loan,
298,0,68906,10/25/21,Utilities,
299,0,93760,10/26/21,Dining Out,
300,-24658,150000,10/27/21,Salary,
301,0,118229,10/28/21,Miscellaneous,
302,0,148935,10/29/21,Miscellaneous,
303,0,56308,10/30/21,Miscellaneous,
304,0,150000,10/31/21,Salary,
305,0,150000,11/1/21,Salary,
306,0,150000,11/2/21,Salary,
307,0,150000,11/3/21,Salary,
308,-15302,0,11/4/21,Miscellaneous,
309,0,60078,11/5/21,Miscellaneous,
310,-20000,30623,11/6/21,EMI Car Loan,
311,-27329,0,11/7/21,Dining Out,
312,0,106256,11/8/21,Utilities,
313,-30000,43384,11/9/21,EMI Home Loan,
314,0,123179,11/10/21,Miscellaneous,
315,-30000,36202,11/11/21,EMI Home Loan,
316,0,190965,11/12/21,Dining Out,
317,0,1663,11/13/21,Dining Out,
318,-30000,0,11/14/21,EMI Home Loan,
319,0,41906,11/15/21,Miscellaneous,
320,-30000,0,11/16/21,EMI Home Loan,
321,-20000,83883,11/17/21,EMI Car Loan,
322,0,6250,11/18/21,Groceries,
323,0,62547,11/19/21,Miscellaneous,
324,0,153154,11/20/21,Miscellaneous,
325,0,74249,11/21/21,Utilities,
326,-15246,150000,11/22/21,Salary,
327,0,176814,11/23/21,Groceries,
328,0,187714,11/24/21,Dining Out,
329,0,92483,11/25/21,Miscellaneous,
330,-30000,83983,11/26/21,EMI Home Loan,
331,0,148342,11/27/21,Groceries,
332,0,164835,11/28/21,Utilities,
333,0,89752,11/29/21,Dining Out,
334,0,150000,11/30/21,Salary,
335,0,150000,12/1/21,Salary,
336,0,21295,12/2/21,Utilities,
337,0,169686,12/3/21,Utilities,
338,-30000,50689,12/4/21,EMI Home Loan,
339,-38889,0,12/5/21,Miscellaneous,
340,-12496,150000,12/6/21,Salary,
341,0,82874,12/7/21,Dining Out,
342,-41845,0,12/8/21,Groceries,
343,0,154728,12/9/21,Dining Out,
344,-20000,0,12/10/21,EMI Car Loan,
345,-20000,62561,12/11/21,EMI Car Loan,
346,-2746,0,12/12/21,Utilities,
347,-30000,0,12/13/21,EMI Home Loan,
348,-20000,35981,12/14/21,EMI Car Loan,
349,0,150000,12/15/21,Salary,
350,-19694,0,12/16/21,Dining Out,
351,0,97718,12/17/21,Dining Out,
352,-3157,0,12/18/21,Utilities,
353,0,70975,12/19/21,Miscellaneous,
354,0,46601,12/20/21,Miscellaneous,
355,0,171807,12/21/21,Groceries,
356,0,57512,12/22/21,Utilities,
357,0,97443,12/23/21,Groceries,
358,0,158443,12/24/21,Miscellaneous,
359,0,61472,12/25/21,Utilities,
360,0,83121,12/26/21,Utilities,
361,0,112688,12/27/21,Utilities,
362,0,53727,12/28/21,Miscellaneous,
363,0,62893,12/29/21,Groceries,
364,-29068,0,12/30/21,Groceries,
365,0,67796,12/31/21,Utilities,
366,-20000,0,1/1/22,EMI Car Loan,
367,-30000,142506,1/2/22,EMI Home Loan,
368,0,153766,1/3/22,Miscellaneous,
369,-30000,124088,1/4/22,EMI Home Loan,
370,-30000,0,1/5/22,EMI Home Loan,
371,0,67858,1/6/22,Groceries,
372,0,123714,1/7/22,Groceries,
373,-20000,0,1/8/22,EMI Car Loan,
374,-30000,132479,1/9/22,EMI Home Loan,
375,-30000,16690,1/10/22,EMI Home Loan,
376,-45501,0,1/11/22,Utilities,
377,-43705,0,1/12/22,Groceries,
378,-30000,70885,1/13/22,EMI Home Loan,
379,0,76071,1/14/22,Dining Out,
380,-20000,9040,1/15/22,EMI Car Loan,
381,-37817,0,1/16/22,Dining Out,
382,0,110371,1/17/22,Dining Out,
383,0,93946,1/18/22,Miscellaneous,
384,0,66336,1/19/22,Miscellaneous,
385,-20000,0,1/20/22,EMI Car Loan,
386,-44461,0,1/21/22,Dining Out,
387,-30000,189013,1/22/22,EMI Home Loan,
388,0,134423,1/23/22,Groceries,
389,-20000,142339,1/24/22,EMI Car Loan,
390,0,129426,1/25/22,Utilities,
391,0,76063,1/26/22,Dining Out,
392,-20000,83629,1/27/22,EMI Car Loan,
393,-11640,150000,1/28/22,Salary,
394,0,150000,1/29/22,Salary,
395,0,83272,1/30/22,Miscellaneous,
396,0,193548,1/31/22,Groceries,
397,-30000,149569,2/1/22,EMI Home Loan,
398,0,128047,2/2/22,Groceries,
399,-28643,0,2/3/22,Groceries,
400,0,69121,2/4/22,Groceries,
401,0,27505,2/5/22,Groceries,
402,-47131,0,2/6/22,Utilities,
403,0,142207,2/7/22,Utilities,
404,0,108,2/8/22,Miscellaneous,
405,-20000,62296,2/9/22,EMI Car Loan,
406,0,150000,2/10/22,Salary,
407,0,40272,2/11/22,Groceries,
408,-11533,0,2/12/22,Miscellaneous,
409,-20000,0,2/13/22,EMI Car Loan,
410,0,150000,2/14/22,Salary,
411,0,167903,2/15/22,Dining Out,
412,-30000,85059,2/16/22,EMI Home Loan,
413,0,8871,2/17/22,Utilities,
414,0,103471,2/18/22,Dining Out,
415,0,150000,2/19/22,Salary,
416,0,127286,2/20/22,Dining Out,
417,-30000,180594,2/21/22,EMI Home Loan,
418,0,36416,2/22/22,Miscellaneous,
419,0,150000,2/23/22,Salary,
420,-5936,0,2/24/22,Dining Out,
421,0,151163,2/25/22,Utilities,
422,0,57450,2/26/22,Utilities,
423,-20000,121890,2/27/22,EMI Car Loan,
424,0,126597,2/28/22,Dining Out,
425,-30170,0,3/1/22,Groceries,
426,0,98501,3/2/22,Dining Out,
427,0,87965,3/3/22,Miscellaneous,
428,0,150000,3/4/22,Salary,
429,0,150000,3/5/22,Salary,
430,-2667,0,3/6/22,Miscellaneous,
431,0,84508,3/7/22,Dining Out,
432,0,155362,3/8/22,Miscellaneous,
433,-30000,26213,3/9/22,EMI Home Loan,
434,0,86967,3/10/22,Miscellaneous,
435,0,100810,3/11/22,Utilities,
436,-19254,0,3/12/22,Miscellaneous,
437,-623,150000,3/13/22,Salary,
438,0,129476,3/14/22,Utilities,
439,0,150000,3/15/22,Salary,
440,-20000,47888,3/16/22,EMI Car Loan,
441,0,120862,3/17/22,Groceries,
442,0,150000,3/18/22,Salary,
443,0,86672,3/19/22,Utilities,
444,-20000,175732,3/20/22,EMI Car Loan,
445,0,150000,3/21/22,Salary,
446,-30000,121836,3/22/22,EMI Home Loan,
447,0,155615,3/23/22,Miscellaneous,
448,-4286,0,3/24/22,Groceries,
449,0,150000,3/25/22,Salary,
450,-20000,52946,3/26/22,EMI Car Loan,
451,-30000,59616,3/27/22,EMI Home Loan,
452,0,55983,3/28/22,Dining Out,
453,-20000,154816,3/29/22,EMI Car Loan,
454,0,137563,3/30/22,Miscellaneous,
455,-20000,74123,3/31/22,EMI Car Loan,
456,-30000,99661,4/1/22,EMI Home Loan,
457,-20000,0,4/2/22,EMI Car Loan,
458,-30000,32989,4/3/22,EMI Home Loan,
459,-13788,150000,4/4/22,Salary,
460,-30000,0,4/5/22,EMI Home Loan,
461,-30000,128274,4/6/22,EMI Home Loan,
462,0,113707,4/7/22,Groceries,
463,-30000,13208,4/8/22,EMI Home Loan,
464,-30000,0,4/9/22,EMI Home Loan,
465,0,99783,4/10/22,Dining Out,
466,-46580,150000,4/11/22,Salary,
467,0,46752,4/12/22,Miscellaneous,
468,0,81373,4/13/22,Groceries,
469,0,126308,4/14/22,Dining Out,
470,0,65294,4/15/22,Utilities,
471,0,150000,4/16/22,Salary,
472,0,150000,4/17/22,Salary,
473,0,135312,4/18/22,Utilities,
474,0,74019,4/19/22,Miscellaneous,
475,-30000,15726,4/20/22,EMI Home Loan,
476,0,91564,4/21/22,Dining Out,
477,-20000,65668,4/22/22,EMI Car Loan,
478,0,182351,4/23/22,Groceries,
479,-20000,0,4/24/22,EMI Car Loan,
480,0,131408,4/25/22,Utilities,
481,0,150000,4/26/22,Salary,
482,0,166386,4/27/22,Miscellaneous,
483,-23359,150000,4/28/22,Salary,
484,0,115656,4/29/22,Groceries,
485,0,150000,4/30/22,Salary,
486,0,150000,5/1/22,Salary,
487,0,147177,5/2/22,Groceries,
488,0,53746,5/3/22,Dining Out,
489,0,181271,5/4/22,Dining Out,
490,0,132957,5/5/22,Groceries,
491,-13369,0,5/6/22,Miscellaneous,
492,0,192289,5/7/22,Utilities,
493,0,150000,5/8/22,Salary,
494,-45986,0,5/9/22,Miscellaneous,
495,-38907,150000,5/10/22,Salary,
496,-31930,0,5/11/22,Utilities,
497,-14223,0,5/12/22,Dining Out,
498,0,6958,5/13/22,Miscellaneous,
499,-30000,32074,5/14/22,EMI Home Loan,
500,-30000,0,5/15/22,EMI Home Loan,
501,-30000,180785,5/16/22,EMI Home Loan,
502,0,126089,5/17/22,Dining Out,
503,0,147392,5/18/22,Dining Out,
504,0,108823,5/19/22,Utilities,
505,0,150000,5/20/22,Salary,
506,0,55864,5/21/22,Utilities,
507,0,80858,5/22/22,Utilities,
508,0,159141,5/23/22,Dining Out,
509,-30000,186719,5/24/22,EMI Home Loan,
510,-20000,55510,5/25/22,EMI Car Loan,
511,0,150000,5/26/22,Salary,
512,-44199,0,5/27/22,Dining Out,
513,-30000,100262,5/28/22,EMI Home Loan,
514,0,130761,5/29/22,Miscellaneous,
515,-20000,185362,5/30/22,EMI Car Loan,
516,-20000,132065,5/31/22,EMI Car Loan,
517,-20408,0,6/1/22,Dining Out,
518,-39353,0,6/2/22,Groceries,
519,0,150000,6/3/22,Salary,
520,-20000,169963,6/4/22,EMI Car Loan,
521,0,168617,6/5/22,Dining Out,
522,0,198710,6/6/22,Dining Out,
523,-30000,170984,6/7/22,EMI Home Loan,
524,0,60627,6/8/22,Miscellaneous,
525,0,20316,6/9/22,Groceries,
526,-47632,150000,6/10/22,Salary,
527,0,27575,6/11/22,Utilities,
528,-43345,0,6/12/22,Miscellaneous,
529,0,187549,6/13/22,Miscellaneous,
530,-30000,20031,6/14/22,EMI Home Loan,
531,-20000,157501,6/15/22,EMI Car Loan,
532,-20000,172155,6/16/22,EMI Car Loan,
533,-30000,37922,6/17/22,EMI Home Loan,
534,0,136838,6/18/22,Dining Out,
535,-20000,74046,6/19/22,EMI Car Loan,
536,0,94475,6/20/22,Groceries,
537,-17903,150000,6/21/22,Salary,
538,0,159729,6/22/22,Miscellaneous,
539,0,92038,6/23/22,Miscellaneous,
540,0,74862,6/24/22,Groceries,
541,-20000,180229,6/25/22,EMI Car Loan,
542,0,68834,6/26/22,Miscellaneous,
543,0,43848,6/27/22,Utilities,
544,0,150000,6/28/22,Salary,
545,0,150000,6/29/22,Salary,
546,0,76141,6/30/22,Miscellaneous,
547,-30000,131372,7/1/22,EMI Home Loan,
548,-27323,0,7/2/22,Miscellaneous,
549,-30000,5609,7/3/22,EMI Home Loan,
550,0,177897,7/4/22,Miscellaneous,
551,0,137733,7/5/22,Utilities,
552,-18976,0,7/6/22,Dining Out,
553,0,150000,7/7/22,Salary,
554,0,20313,7/8/22,Miscellaneous,
555,0,77813,7/9/22,Utilities,
556,-30000,134078,7/10/22,EMI Home Loan,
557,-30000,45285,7/11/22,EMI Home Loan,
558,0,150000,7/12/22,Salary,
559,0,149099,7/13/22,Groceries,
560,0,173844,7/14/22,Miscellaneous,
561,-20000,63632,7/15/22,EMI Car Loan,
562,-30000,161207,7/16/22,EMI Home Loan,
563,0,100580,7/17/22,Dining Out,
564,-46949,0,7/18/22,Dining Out,
565,-30000,129819,7/19/22,EMI Home Loan,
566,0,64692,7/20/22,Groceries,
567,0,168214,7/21/22,Groceries,
568,0,37235,7/22/22,Utilities,
569,0,135093,7/23/22,Dining Out,
570,0,147484,7/24/22,Utilities,
571,0,139407,7/25/22,Dining Out,
572,0,137251,7/26/22,Miscellaneous,
573,0,113165,7/27/22,Miscellaneous,
574,-20000,150750,7/28/22,EMI Car Loan,
575,0,161810,7/29/22,Miscellaneous,
576,-20000,120806,7/30/22,EMI Car Loan,
577,0,153687,7/31/22,Miscellaneous,
578,0,150000,8/1/22,Salary,
579,0,186175,8/2/22,Miscellaneous,
580,0,44476,8/3/22,Utilities,
581,-30000,183841,8/4/22,EMI Home Loan,
582,-32981,0,8/5/22,Utilities,
583,-30000,192793,8/6/22,EMI Home Loan,
584,0,33613,8/7/22,Groceries,
585,0,172866,8/8/22,Utilities,
586,0,36672,8/9/22,Groceries,
587,-20000,23847,8/10/22,EMI Car Loan,
588,-20000,32750,8/11/22,EMI Car Loan,
589,0,150000,8/12/22,Salary,
590,-21749,0,8/13/22,Miscellaneous,
591,0,53481,8/14/22,Utilities,
592,0,62566,8/15/22,Groceries,
593,-30000,0,8/16/22,EMI Home Loan,
594,-20000,40852,8/17/22,EMI Car Loan,
595,-17783,0,8/18/22,Miscellaneous,
596,-20000,0,8/19/22,EMI Car Loan,
597,-30000,0,8/20/22,EMI Home Loan,
598,0,133062,8/21/22,Miscellaneous,
599,0,82222,8/22/22,Miscellaneous,
600,0,170552,8/23/22,Groceries,
601,0,50235,8/24/22,Groceries,
602,0,24740,8/25/22,Utilities,
603,0,66352,8/26/22,Utilities,
604,0,16617,8/27/22,Dining Out,
605,0,175913,8/28/22,Dining Out,
606,-33104,150000,8/29/22,Salary,
607,-20000,80798,8/30/22,EMI Car Loan,
608,0,127247,8/31/22,Utilities,
609,0,88877,9/1/22,Groceries,
610,-30000,0,9/2/22,EMI Home Loan,
611,0,196319,9/3/22,Groceries,
612,-20000,0,9/4/22,EMI Car Loan,
613,0,126615,9/5/22,Dining Out,
614,0,137628,9/6/22,Groceries,
615,0,150000,9/7/22,Salary,
616,-20000,61488,9/8/22,EMI Car Loan,
617,0,84415,9/9/22,Dining Out,
618,-30000,94572,9/10/22,EMI Home Loan,
619,0,134294,9/11/22,Dining Out,
620,-20625,0,9/12/22,Miscellaneous,
621,0,150000,9/13/22,Salary,
622,-20000,0,9/14/22,EMI Car Loan,
623,-30000,63429,9/15/22,EMI Home Loan,
624,0,150000,9/16/22,Salary,
625,0,154738,9/17/22,Dining Out,
626,0,150000,9/18/22,Salary,
627,-20000,17215,9/19/22,EMI Car Loan,
628,0,19042,9/20/22,Utilities,
629,0,150000,9/21/22,Salary,
630,0,153861,9/22/22,Miscellaneous,
631,0,150000,9/23/22,Salary,
632,0,43468,9/24/22,Dining Out,
633,0,142461,9/25/22,Dining Out,
634,-30000,0,9/26/22,EMI Home Loan,
635,0,135412,9/27/22,Dining Out,
636,0,125150,9/28/22,Groceries,
637,-20000,28832,9/29/22,EMI Car Loan,
638,-20000,1293,9/30/22,EMI Car Loan,
639,0,177053,10/1/22,Utilities,
640,0,28781,10/2/22,Utilities,
641,-20000,141475,10/3/22,EMI Car Loan,
642,0,110196,10/4/22,Miscellaneous,
643,0,176507,10/5/22,Utilities,
644,-30000,0,10/6/22,EMI Home Loan,
645,0,189833,10/7/22,Dining Out,
646,-20000,116319,10/8/22,EMI Car Loan,
647,0,71172,10/9/22,Utilities,
648,-20000,44758,10/10/22,EMI Car Loan,
649,0,172819,10/11/22,Groceries,
650,0,150000,10/12/22,Salary,
651,0,6573,10/13/22,Dining Out,
652,-20000,9101,10/14/22,EMI Car Loan,
653,0,150000,10/15/22,Salary,
654,-23354,0,10/16/22,Utilities,
655,0,150000,10/17/22,Salary,
656,-26951,0,10/18/22,Dining Out,
657,-20000,160677,10/19/22,EMI Car Loan,
